dispatching_base_number,date,active_vehicles,trips,day,month,weekday
B02765,2015-01-21,296,1774,21,1,Wednesday
B02617,2015-01-21,1429,10997,21,1,Wednesday
B02617,2015-01-22,1471,12143,22,1,Thursday
B02764,2015-01-22,3889,30091,22,1,Thursday
B02512,2015-01-22,246,1551,22,1,Thursday
B02598,2015-01-22,1071,9080,22,1,Thursday
B02682,2015-01-22,1295,10699,22,1,Thursday
B02765,2015-01-22,295,2038,22,1,Thursday
B02598,2015-01-23,1093,9343,23,1,Friday
B02512,2015-01-23,246,1670,23,1,Friday
B02765,2015-01-23,299,2162,23,1,Friday
B02764,2015-01-23,4040,33756,23,1,Friday
B02617,2015-01-23,1482,13121,23,1,Friday
B02682,2015-01-23,1330,11767,23,1,Friday
B02598,2015-01-24,945,10040,24,1,Saturday
B02764,2015-01-24,3652,39187,24,1,Saturday
B02512,2015-01-24,211,1608,24,1,Saturday
B02617,2015-01-24,1367,14143,24,1,Saturday
B02682,2015-01-24,1223,13355,24,1,Saturday
B02765,2015-01-24,245,2376,24,1,Saturday
B02512,2015-01-25,183,1190,25,1,Sunday
B02764,2015-01-25,3300,28066,25,1,Sunday
B02765,2015-01-25,226,1755,25,1,Sunday
B02598,2015-01-25,829,7219,25,1,Sunday
B02682,2015-01-25,1046,9303,25,1,Sunday
B02617,2015-01-25,1203,10362,25,1,Sunday
B02617,2015-01-26,1150,7608,26,1,Monday
B02598,2015-01-26,860,5919,26,1,Monday
B02765,2015-01-26,230,1363,26,1,Monday
B02764,2015-01-26,3012,19940,26,1,Monday
B02682,2015-01-26,1084,7565,26,1,Monday
B02512,2015-01-26,197,1000,26,1,Monday
B02682,2015-01-27,600,4414,27,1,Tuesday
B02765,2015-01-27,135,921,27,1,Tuesday
B02617,2015-01-27,596,4325,27,1,Tuesday
B02598,2015-01-27,434,2957,27,1,Tuesday
B02512,2015-01-27,112,629,27,1,Tuesday
B02764,2015-01-27,1619,11998,27,1,Tuesday
B02764,2015-01-28,3692,28137,28,1,Wednesday
B02682,2015-01-28,1235,10025,28,1,Wednesday
B02765,2015-01-28,286,1913,28,1,Wednesday
B02617,2015-01-28,1356,10862,28,1,Wednesday
B02598,2015-01-28,1011,8071,28,1,Wednesday
B02512,2015-01-28,235,1438,28,1,Wednesday
B02617,2015-01-29,1474,12600,29,1,Thursday
B02764,2015-01-29,3959,31637,29,1,Thursday
B02682,2015-01-29,1316,11485,29,1,Thursday
B02765,2015-01-29,295,2086,29,1,Thursday
B02512,2015-01-29,250,1687,29,1,Thursday
B02598,2015-01-29,1082,9499,29,1,Thursday
B02512,2015-01-30,256,2016,30,1,Friday
B02617,2015-01-30,1501,14793,30,1,Friday
B02682,2015-01-30,1384,13852,30,1,Friday
B02764,2015-01-30,4124,39110,30,1,Friday
B02765,2015-01-30,322,2785,30,1,Friday
B02598,2015-01-30,1106,11167,30,1,Friday
B02765,2015-01-31,309,3282,31,1,Saturday
B02512,2015-01-31,225,1892,31,1,Saturday
B02617,2015-01-31,1394,15756,31,1,Saturday
B02682,2015-01-31,1321,15388,31,1,Saturday
B02764,2015-01-31,3947,44297,31,1,Saturday
B02598,2015-01-31,1027,11642,31,1,Saturday
B02598,2015-02-01,961,9499,1,2,Sunday
B02682,2015-02-01,1214,12436,1,2,Sunday
B02512,2015-02-01,193,1377,1,2,Sunday
B02765,2015-02-01,289,2672,1,2,Sunday
B02617,2015-02-01,1355,13458,1,2,Sunday
B02764,2015-02-01,3740,37468,1,2,Sunday
B02617,2015-02-02,1217,12216,2,2,Monday
B02682,2015-02-02,1152,11981,2,2,Monday
B02765,2015-02-02,275,2607,2,2,Monday
B02598,2015-02-02,939,9511,2,2,Monday
B02764,2015-02-02,3270,30761,2,2,Monday
B02512,2015-02-02,227,1904,2,2,Monday
B02765,2015-02-03,299,2410,3,2,Tuesday
B02598,2015-02-03,991,9602,3,2,Tuesday
B02512,2015-02-03,257,1915,3,2,Tuesday
B02764,2015-02-03,3674,31641,3,2,Tuesday
B02617,2015-02-03,1350,12665,3,2,Tuesday
B02682,2015-02-03,1269,11955,3,2,Tuesday
B02764,2015-02-04,3856,29994,4,2,Wednesday
B02765,2015-02-04,309,2334,4,2,Wednesday
B02512,2015-02-04,244,1639,4,2,Wednesday
B02682,2015-02-04,1311,11309,4,2,Wednesday
B02617,2015-02-04,1393,11959,4,2,Wednesday
B02598,2015-02-04,1072,9600,4,2,Wednesday
B02617,2015-02-05,1524,14499,5,2,Thursday
B02682,2015-02-05,1418,13782,5,2,Thursday
B02598,2015-02-05,1179,11609,5,2,Thursday
B02512,2015-02-05,264,2022,5,2,Thursday
B02765,2015-02-05,355,3011,5,2,Thursday
B02764,2015-02-05,4093,35990,5,2,Thursday
B02617,2015-02-06,1526,15417,6,2,Friday
B02765,2015-02-06,385,3569,6,2,Friday
B02598,2015-02-06,1181,11897,6,2,Friday
B02512,2015-02-06,261,1989,6,2,Friday
B02764,2015-02-06,4170,38693,6,2,Friday
B02682,2015-02-06,1414,14375,6,2,Friday
B02598,2015-02-07,1031,10512,7,2,Saturday
B02512,2015-02-07,211,1504,7,2,Saturday
B02617,2015-02-07,1383,13688,7,2,Saturday
B02682,2015-02-07,1300,13450,7,2,Saturday
B02764,2015-02-07,3849,38530,7,2,Saturday
B02765,2015-02-07,345,3473,7,2,Saturday
B02764,2015-02-08,3422,29692,8,2,Sunday
B02765,2015-02-08,313,2623,8,2,Sunday
B02598,2015-02-08,923,8129,8,2,Sunday
B02617,2015-02-08,1256,11004,8,2,Sunday
B02682,2015-02-08,1136,10356,8,2,Sunday
B02512,2015-02-08,176,1196,8,2,Sunday
B02617,2015-02-09,1312,10887,9,2,Monday
B02682,2015-02-09,1241,10209,9,2,Monday
B02598,2015-02-09,976,8135,9,2,Monday
B02764,2015-02-09,3543,28266,9,2,Monday
B02512,2015-02-09,228,1565,9,2,Monday
B02765,2015-02-09,388,2894,9,2,Monday
B02764,2015-02-10,3700,29124,10,2,Tuesday
B02512,2015-02-10,233,1555,10,2,Tuesday
B02617,2015-02-10,1364,11401,10,2,Tuesday
B02765,2015-02-10,422,3432,10,2,Tuesday
B02682,2015-02-10,1281,10536,10,2,Tuesday
B02598,2015-02-10,1029,8718,10,2,Tuesday
B02617,2015-02-11,1450,12749,11,2,Wednesday
B02764,2015-02-11,3849,31889,11,2,Wednesday
B02512,2015-02-11,255,1831,11,2,Wednesday
B02598,2015-02-11,1115,10034,11,2,Wednesday
B02765,2015-02-11,450,3778,11,2,Wednesday
B02682,2015-02-11,1396,12189,11,2,Wednesday
B02617,2015-02-12,1532,14263,12,2,Thursday
B02512,2015-02-12,269,2092,12,2,Thursday
B02682,2015-02-12,1468,13786,12,2,Thursday
B02765,2015-02-12,536,4609,12,2,Thursday
B02598,2015-02-12,1181,11640,12,2,Thursday
B02764,2015-02-12,4137,36844,12,2,Thursday
B02617,2015-02-13,1590,16996,13,2,Friday
B02682,2015-02-13,1523,16088,13,2,Friday
B02764,2015-02-13,4395,43561,13,2,Friday
B02765,2015-02-13,599,5909,13,2,Friday
B02512,2015-02-13,281,2408,13,2,Friday
B02598,2015-02-13,1216,13062,13,2,Friday
B02764,2015-02-14,4129,45858,14,2,Saturday
B02512,2015-02-14,236,2055,14,2,Saturday
B02598,2015-02-14,1111,12678,14,2,Saturday
B02765,2015-02-14,583,6307,14,2,Saturday
B02617,2015-02-14,1486,16999,14,2,Saturday
B02682,2015-02-14,1428,16448,14,2,Saturday
B02682,2015-02-15,1261,14517,15,2,Sunday
B02764,2015-02-15,3651,41209,15,2,Sunday
B02617,2015-02-15,1293,14662,15,2,Sunday
B02765,2015-02-15,521,5500,15,2,Sunday
B02512,2015-02-15,210,1996,15,2,Sunday
B02598,2015-02-15,1003,11517,15,2,Sunday
B02598,2015-02-16,934,9052,16,2,Monday
B02512,2015-02-16,207,1576,16,2,Monday
B02617,2015-02-16,1214,11824,16,2,Monday
B02764,2015-02-16,3524,33448,16,2,Monday
B02682,2015-02-16,1164,11323,16,2,Monday
B02765,2015-02-16,508,4875,16,2,Monday
B02764,2015-02-17,3826,32473,17,2,Tuesday
B02512,2015-02-17,241,1797,17,2,Tuesday
B02682,2015-02-17,1314,11887,17,2,Tuesday
B02617,2015-02-17,1378,12524,17,2,Tuesday
B02598,2015-02-17,1066,9463,17,2,Tuesday
B02765,2015-02-17,578,4907,17,2,Tuesday
B02598,2015-02-18,1078,9538,18,2,Wednesday
B02682,2015-02-18,1314,11724,18,2,Wednesday
B02617,2015-02-18,1394,12016,18,2,Wednesday
B02765,2015-02-18,586,5059,18,2,Wednesday
B02764,2015-02-18,3842,32317,18,2,Wednesday
B02512,2015-02-18,228,1589,18,2,Wednesday
B02598,2015-02-19,1127,11739,19,2,Thursday
B02512,2015-02-19,250,2120,19,2,Thursday
B02682,2015-02-19,1428,14591,19,2,Thursday
B02764,2015-02-19,4110,39110,19,2,Thursday
B02765,2015-02-19,663,6447,19,2,Thursday
B02617,2015-02-19,1452,14750,19,2,Thursday
B02764,2015-02-20,4384,44755,20,2,Friday
B02617,2015-02-20,1574,16856,20,2,Friday
B02598,2015-02-20,1186,12758,20,2,Friday
B02682,2015-02-20,1497,16342,20,2,Friday
B02765,2015-02-20,736,7824,20,2,Friday
B02512,2015-02-20,272,2380,20,2,Friday
B02598,2015-02-21,1044,12132,21,2,Saturday
B02682,2015-02-21,1374,16149,21,2,Saturday
B02765,2015-02-21,685,7658,21,2,Saturday
B02617,2015-02-21,1443,16098,21,2,Saturday
B02512,2015-02-21,238,2149,21,2,Saturday
B02764,2015-02-21,3981,44194,21,2,Saturday
B02512,2015-02-22,199,1312,22,2,Sunday
B02617,2015-02-22,1248,10696,22,2,Sunday
B02682,2015-02-22,1220,10970,22,2,Sunday
B02764,2015-02-22,3478,30157,22,2,Sunday
B02598,2015-02-22,909,8271,22,2,Sunday
B02765,2015-02-22,566,5034,22,2,Sunday
B02598,2015-02-23,966,8943,23,2,Monday
B02617,2015-02-23,1332,11720,23,2,Monday
B02764,2015-02-23,3734,31173,23,2,Monday
B02682,2015-02-23,1262,11714,23,2,Monday
